University ID,University Name,Faculty ID,Faculty Name,Program ID,Program/Major Name,Project ID,Project Name (Portfolio),Seats Accepted,Criteria Details,URL,Only Formal,Only International,Only Vocational,Only Non-Formal,Only GED,Admission Conditions,Major ID,Major Name,Field Name,Round
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121300001A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์ (วิศวกรรมทั่วไป)","P2101","โครงการโอลิมปิกวิชาการและโครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์และเทคโนโลยีสำหรับเด็กและเยาวชน",60,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์ คณะกรรมการดำเนินการและประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ -  ผลงานความสามารถทางวิชาการในระดับชาติ หรือนานาชาติทางด้านคณิตศาสตร์ ฟิสิกส์ เคมี วิศวกรรม งานวิจัย หรือทักษะอื่น ๆ ที่เกี่ยวกับทางด้านวิศวกรรม     คิดเป็น 100 คะแนน                 คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า 70  คะแนนจึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์ คณะกรรมการดำเนินการและประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ -  ความรู้วิชาหลัก และความรู้เฉพาะสาขาวิชา คิดเป็น  25 คะแนน -  ทักษะทางสารสนเทศ สื่อ และเทคโนโลยี   คิดเป็น  25 คะแนน -  ทักษะชีวิตและอาชีพ                              คิดเป็น  25 คะแนน -  ทักษะการเรียนรู้และนวัตกรรม                   คิดเป็น 25 คะแนน                                                          คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนในการสอบสัมภาษณ์รวมกันไม่ต่ำกว่า 70   คะแนน จึงจะถือว่าเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมทั่วไป",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121300001A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์ (วิศวกรรมทั่วไป)","P2104","โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์",200,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์  คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1) ความรู้ความสามารถทางวิชาการ   	คิดเป็น	 40 คะแนน 2) แรงผลักดันหรือแรงจูงใจในการเรียนคณะวิศวฯ และความสามารถในการสื่อสาร   	คิดเป็น	 10 คะแนน 3) ความริเริ่มสร้างสรรค์และความสามารถในการแก้ปัญหา  คิดเป็น 40 คะแนน 4) การศึกษาเรียนรู้ด้วยตนเองและต่อเนื่อง คิดเป็น 10 คะแนน คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานไม่ต่ำกว่า    70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์  คณะกรรมการดำเนินการและประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1) การสอบสัมภาษณ์ ตามข้อ 1  คิดเป็น  100    คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า 70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมทั่วไป",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121300001A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์ (วิศวกรรมทั่วไป)","P2196","โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา",2,"การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์ (การพิจารณาคะแนนของแต่ละหมวดจะต้องสอดคล้องกับเนื้อหาในแฟ้มสะสมผลงาน) พิจารณาจากคะแนนแฟ้มสะสมผลงานของผู้สมัคร เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีหัวข้อของแฟ้มสะสมผลงาน เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1. หนังสือรับรองจากสมาคมกีฬา ผลการแข่งขัน อันดับ หรือรางวัลที่ได้รับจากการแข่งขันรายการที่ดีที่สุด 1 รายการ 70 คะแนน 2. คำถามเพิ่มเติม 30 คะแนน คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า 70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์  การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์ พิจารณาจากผลคะแนนการสอบสัมภาษณ์ เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1. ความรู้ความสามารถทางด้านกีฬา และศักยภาพทางด้านกีฬา 60 คะแนน 2. การนำเสนอด้วยวาจาในหัวข้อ “แนวทางการพัฒนาตนเองทางด้านกีฬากับการศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย”  โดยใช้ระยะเวลา ประมาณ 3 นาที 20 คะแนน 3. ความรู้ทางวิชาการและความพร้อมในการเข้าศึกษาต่อในคณะ/สาขาวิชาที่สมัครเข้ารับการคัดเลือก 20 คะแนน ทั้งนี้ จะต้องได้คะแนนในข้อ 3 ไม่ต่ำกว่า 10 คะแนน และต้องได้คะแนนทุกข้อรวมกันไม่ต่ำกว่า 80 คะแนน จึงจะถือว่าเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมทั่วไป",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121301101A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี","P2104","โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์",2,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์  คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1) ความรู้ความสามารถทางวิชาการ   	คิดเป็น	 40 คะแนน 2) แรงผลักดันหรือแรงจูงใจในการเรียนคณะวิศวฯ และความสามารถในการสื่อสาร   	คิดเป็น	 10 คะแนน 3) ความริเริ่มสร้างสรรค์และความสามารถในการแก้ปัญหา  คิดเป็น 40 คะแนน 4) การศึกษาเรียนรู้ด้วยตนเองและต่อเนื่อง คิดเป็น 10 คะแนน คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานไม่ต่ำกว่า    70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์  คณะกรรมการดำเนินการและประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ 1) การสอบสัมภาษณ์ ตามข้อ 1  คิดเป็น  100    คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า 70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมนิวเคลียร์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121301101A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี","P2107","โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมนิวเคลียร์และรังสี",3,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์ คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ -  ผลงานความสามารถทางวิชาการในระดับชาติ หรือนานาชาติทางด้านคณิตศาสตร์ ฟิสิกส์ เคมี นิวเคลียร์ วิศวกรรม งานวิจัย หรือทักษะอื่น ๆ ที่เกี่ยวกับทางด้านวิศวกรรม  คิดเป็น 100 คะแนน                                   คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า  70  คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์  คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้  -  ความรู้วิชาหลัก และความรู้เฉพาะสาขาวิชา    คิดเป็น  25 คะแนน -  ทักษะทางสารสนเทศ สื่อ และเทคโนโลยี      คิดเป็น  25 คะแนน -  ทักษะชีวิตและอาชีพ                                 คิดเป็น  25 คะแนน -  ทักษะการเรียนรู้และนวัตกรรม                      คิดเป็น 25 คะแนน                                                               คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนในการสอบสัมภาษณ์รวมกันไม่ต่ำกว่า 70   คะแนน จึงจะถือว่าเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมนิวเคลียร์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121300501A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์","P2102","โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมคอมพิวเตอร์",75,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์ คณะกรรมการดำเนินการและประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงตามลำดับคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้  -  ผลงานความสามารถทางวิชาการในระดับชาติ หรือนานาชาติทางด้านคณิตศาสตร์ ฟิสิกส์ เคมี วิศวกรรมคอมพิวเตอร์ วิศวกรรม งานวิจัย หรือทักษะอื่น ๆ ที่เกี่ยวกับทางด้านวิศวกรรม คิดเป็น 100 คะแนน                                             คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานรวมกันไม่ต่ำกว่า 70  คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์ คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ -  ความรู้วิชาหลัก และความรู้เฉพาะสาขาวิชา คิดเป็น  25 คะแนน -  ทักษะทางสารสนเทศ สื่อ และเทคโนโลยี   คิดเป็น  25 คะแนน -  ทักษะชีวิตและอาชีพ                              คิดเป็น  25 คะแนน -  ทักษะการเรียนรู้และนวัตกรรม                   คิดเป็น 25 คะแนน                                                          คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนในการสอบสัมภาษณ์รวมกันไม่ต่ำกว่า 70   คะแนน จึงจะถือว่าเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,2,2,2,"","","","วิศวกรรมคอมพิวเตอร์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121300599A","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","P2105","โครงการรับนักเรียนผู้มีความสามารถทางวิชาการเข้าศึกษาในหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (หลักสูตร Sandbox)",225,"1. การพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์ คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้มีสิทธิ์สอบสัมภาษณ์จากคะแนนแฟ้มสะสมผลงาน (Portfolio) เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีเกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้ - ผลงานทางด้านวิชาการ หรือทางด้านวิศวกรรมคอมพิวเตอร์ คิดเป็น 100 คะแนน ทั้งนี้ จะต้องได้คะแนนแฟ้มสะสมผลงานไม่ต่ำกว่า    70 คะแนน จึงจะมีสิทธิ์ได้รับการพิจารณาในการประกาศรายชื่อเป็นผู้มีสิทธิ์สอบสัมภาษณ์ 2. การพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์  คณะกรรมการดำเนินการและการประเมินแฟ้มสะสมผลงานของผู้สมัครเข้าศึกษาในคณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ระดับปริญญาตรี ปีการศึกษา 2570 รอบที่ 1 แฟ้มสะสมผลงาน (Portfolio) จะพิจารณารายชื่อผู้ผ่านการสอบสัมภาษณ์จากคะแนนการสอบสัมภาษณ์ เรียงลำดับตามคะแนนจากมากไปหาน้อย โดยมีหัวข้อในการสอบสัมภาษณ์ เกณฑ์การพิจารณา และเกณฑ์คะแนนขั้นต่ำ ดังนี้  -  ความรู้วิชาหลัก และความรู้เฉพาะสาขาวิชา คิดเป็น  25 คะแนน -  ทักษะทางสารสนเทศ สื่อ และเทคโนโลยี  คิดเป็น  25 คะแนน -  ทักษะชีวิตและอาชีพ                                 คิดเป็น  25 คะแนน -  ทักษะการเรียนรู้และนวัตกรรม                   คิดเป็น 25 คะแนน                                                               คะแนนรวม 100 คะแนน ทั้งนี้ จะต้องได้คะแนนในการสอบสัมภาษณ์รวมกันไม่ต่ำกว่า 70   คะแนน จึงจะถือว่าเป็นผู้ผ่านการสอบสัมภาษณ์","https://admission.chula.ac.th",1,2,1,2,2,"","","","วิศวกรรมคอมพิวเตอร์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121302002E","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ) (วิศวกรรมยานยนต์)","P2110","รูปแบบที่ 2",5,"","https://admission.chula.ac.th",1,1,1,1,1,"","","","วิศวกรรมยานยนต์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121302002E","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ) (วิศวกรรมยานยนต์)","P2109","รูปแบบที่ 1",56,"","https://admission.chula.ac.th",1,1,1,1,1,"","","","วิศวกรรมยานยนต์",1
"001","จุฬาลงกรณ์มหาวิทยาลัย","21","คณะวิศวกรรมศาสตร์","10010121301801E","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ) (วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม)","P2110","รูปแบบที่ 2",7,"","https://admission.chula.ac.th",1,1,1,1,1,"","","","วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม",1
